ID,Título,Artista,YouTube ID,Vistas
"4528fa43-bc69-4958-8103-d082952a47db","DEL CAMINO LO QUE VI","DÚO KARMA","D9J44W9Vkho",17941587
"c0655d30-1f27-4f27-af5e-91b15700a371","El Camion de German","Sergio Galleguillo","z53K_RLO2GE",8253600
"1f0aff49-e571-43b1-a1c1-3764940c3812","¿Por qué RAMONES se llaman así?","Tus Clases De Guitarra","Cb8bqjGAvu4",1340455
"2fcb7a54-2e42-44a9-8d1f-9a31f4e0f1fd","Justin Bieber – Despacito ft. Luis Fonsi & Daddy Yankee [Pop]","Taz Network","whwe0KD_rGw",359278389
"cf24448d-b013-46d1-8637-afcbf325daef","Luis Fonsi, Despacito ft,Daddy Yankee","DJ DY","DWir_XczIE8",75940287
"279edc72-1026-4563-a66b-77e3f85d270a","Luis Fonsi ‒ Despacito (Lyrics / ) ft. Daddy Yankee","Taz Network","gm3-m2CFVWM",68492300
"4377e0a5-3f94-42ca-87ba-abe97c10ad73","Arco","Los Piojos","futvVVHxGwc",476765
"732cec23-b516-4417-afda-75abe8bf98ee","Pistolas","Los Piojos","xMg4J2n6sGY",4965560
"a56266ba-6911-4ad4-8ce0-a79a5f23aa66","Difícil","Los Piojos","88uXcT4TTn0",1849308
"5eba8c44-bbb5-49f5-a2ef-3bf9706097c5","El Farolito","Los Piojos","I8OJeZOyxzY",13580791
"2ef00208-dedb-4d77-bfad-d081b481583d","Morella","Los Piojos","feWNTzp6m6w",988174
"b16b39ab-c972-4745-89e2-8cef237b6e7e","PARASITE","Electric Callboy","Cqx17q35mzs",5244576
"beaef020-1830-4428-952b-f403529e4b83","Crystals","Electric Callboy","qrWPKu37H1E",7103223
"9b0e32d6-528a-428c-8493-535d932a15ae","MC Thunder II (Dancing Like a Ninja) OFFICIAL VIDEO","Electric Callboy","LFr2LjZrts4",9330174
"ab134eb2-7f55-4931-9248-7256adf560b2","TEKKNO TRAIN","Electric Callboy","CFlhlZbeKgE",24473846
"d4f7e9d7-9734-4960-b0d3-cc7c41c6512b","FCKBOI","Electric Callboy feat. @conquerdividemusic","i5IlvWbjJIA",6156192
"6220e6de-b730-4994-8ead-7a8e19b13a37","Hypa Hypa","Electric Callboy","75Mw8r5gW8E",50795794
"f36e425a-3569-4f32-8ee9-8323e8fa8625","REVERY","Electric Callboy","P8GcY04BUL8",3490851
"a4028371-5c12-49c2-9907-cc8809d224b6","Hypa Hypa","Electric Callboy feat. Sasha","OChI5fsBqtU",3128012
"2342a26b-129c-43bd-ad1d-49e6a6449a1c","Everytime We Touch (TEKKNO Version) OFFICIAL VIDEO","Electric Callboy","AuBXeF5acqE",21864924
"42f73e22-ec70-496c-a8bb-1b36fb91e0e9","HURRIKAN (OFFICIAL VIDEO starring @MiaJuliaOffiziell)","Electric Callboy","Vf3LqQluWag",7350898
"fd829d29-9c14-4d32-aa2c-954c11365ae9","ARROW OF LOVE (OFFICIAL VIDEO starring @KalleKoschinsky)","Electric Callboy","7_TqLc-vETs",10763044
"0bebec9a-6f5f-43b1-8335-b63d771262e6","MINDREADER","Electric Callboy","KmLYqftt9yM",6075348
